Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet
1,"Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_01x03,J3,Conn_01x03,Pogo-Pin-01x03_2.54,1, ,~
2,USB Full-Featured Type-C Receptacle connector,USB_C_Receptacle,J1 J2,USB_C_Receptacle,USB_C_Receptacle_HRO_TYPE-C-31-M-12,2, ,https://www.usb.org/sites/default/files/documents/usb_type-c.zip
3,"Resistor, small symbol",R_Small,R1 R2,R_Small,R_0805_2012Metric,2, ,~
4,"USB serial converter, UART, SOIC-16",CH340G,U?,CH340G,SOIC-16_3.9x9.9mm_P1.27mm,1, ,http://www.datasheet5.com/pdf-local-2195953





